Date : 2022-04-28 02:13:50
Directory : e:\Teamanager-vue\teamanager-vue\src
Total : 91 files,  13682 codes, 648 comments, 412 blanks, all 14742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         78 |     10,158 |        528 |        377 |     11,063 |
| XML        |          1 |      2,671 |          0 |          1 |      2,672 |
| CSS        |          5 |        525 |        101 |         10 |        636 |
| JavaScript |          7 |        328 |         19 |         24 |        371 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         91 |     13,682 |        648 |        412 |     14,742 |
| aos                                                                                             |          1 |          4 |          1 |          0 |          5 |
| assets                                                                                          |          6 |      3,196 |        101 |         11 |      3,308 |
| assets\css                                                                                      |          5 |        525 |        101 |         10 |        636 |
| assets\fonts                                                                                    |          1 |      2,671 |          0 |          1 |      2,672 |
| components                                                                                      |         68 |      8,765 |        468 |        322 |      9,555 |
| components\Home                                                                                 |         15 |      1,802 |         91 |         87 |      1,980 |
| components\Home\aside                                                                           |          8 |        447 |          5 |         28 |        480 |
| components\Home\header                                                                          |          2 |        153 |          8 |          5 |        166 |
| components\Home\main                                                                            |          3 |        549 |         14 |         46 |        609 |
| components\Module                                                                               |          8 |      1,538 |        106 |         41 |      1,685 |
| components\Module\Student                                                                       |          1 |        366 |         30 |         10 |        406 |
| components\Module\Teacher                                                                       |          1 |        415 |         37 |          7 |        459 |
| components\Module\joinModule                                                                    |          2 |        336 |          9 |          6 |        351 |
| components\Module\modulePage                                                                    |          2 |         25 |          0 |         10 |         35 |
| components\Module\slide                                                                         |          2 |        396 |         30 |          8 |        434 |
| components\about                                                                                |          7 |        388 |         13 |         20 |        421 |
| components\card                                                                                 |          2 |        159 |         18 |          7 |        184 |
| components\chat                                                                                 |          4 |        329 |          2 |         12 |        343 |
| components\sign                                                                                 |          1 |        119 |          4 |          4 |        127 |
| components\swiperTest                                                                           |          1 |         43 |          4 |          4 |         51 |
| components\team                                                                                 |         21 |      3,703 |        178 |        102 |      3,983 |
| components\team\contribution                                                                    |          4 |        258 |         21 |         18 |        297 |
| components\team\task                                                                            |          8 |      1,173 |         42 |         41 |      1,256 |
| components\team\vote                                                                            |          2 |        431 |          8 |          8 |        447 |
| components\toolbar                                                                              |          5 |        341 |         15 |         18 |        374 |
| composables                                                                                     |          1 |         26 |          8 |         11 |         45 |
